token_name,default_value,source_file,tier,source_tier,formula,namespace,category,concept,property,component,element,variant,state,scale,mode,collisions,line,disposition,unmatched_segments
$icon-breadcrumb-back-svg-width,40,packages/usa-breadcrumb/src/styles/_usa-breadcrumb.scss,local,component,component.property,,,,width,icon,,,,,,icon:component/element,29,component-local,breadcrumb back svg
$icon-breadcrumb-back-height,$breadcrumb-icon-display-height,packages/usa-breadcrumb/src/styles/_usa-breadcrumb.scss,local,component,component.property,,,,height,icon,,,,,,icon:component/element,29,component-local,breadcrumb back
$icon-breadcrumb-back-color,$theme-breadcrumb-separator-color,packages/usa-breadcrumb/src/styles/_usa-breadcrumb.scss,local,component,component.category,,color,,,icon,,,,,,color:category/property; icon:component/element,29,component-local,breadcrumb back
$breadcrumb-back-icon-aspect,"( map.get($icon-breadcrumb-back, ""svg-width""), map.get($icon-breadcrumb-back, ""svg-height"") )",packages/usa-breadcrumb/src/styles/_usa-breadcrumb.scss,local,component,component.element,,,,,breadcrumb,icon,,,,,icon:element/component,38,component-local,back aspect
$button-context,"""Button""",packages/usa-button/src/styles/_usa-button.scss,local,component,component,,,,,button,,,,,,button:component/element,5,component-local,context
$button-stroke,inset 0 0 0 units($theme-button-stroke-width),packages/usa-button/src/styles/_usa-button.scss,local,component,component,,,,,button,,,,,,button:component/element,6,component-local,stroke
$collection-thumb-width,10,packages/usa-collection/src/styles/_usa-collection.scss,local,component,component.property,,,,width,collection,,,,,,,3,component-local,thumb
$collection-thumb-width-mobile,8,packages/usa-collection/src/styles/_usa-collection.scss,local,component,component.property,,,,width,collection,,,,,,,4,component-local,thumb mobile
$collection-thumb-margin,2,packages/usa-collection/src/styles/_usa-collection.scss,local,component,component.property,,,,margin,collection,,,,,,,5,component-local,thumb
$icon-map,"( color: ButtonText, svg-height: 20, svg-width: 20, height: units(2), )",packages/usa-combo-box/src/styles/_usa-combo-box.scss,local,component,component,,,,,icon,,,,,,icon:component/element,7,component-local|map-container,map
$icon-map-color,ButtonText,packages/usa-combo-box/src/styles/_usa-combo-box.scss,local,component,component.category,,color,,,icon,,,,,,color:category/property; icon:component/element,7,component-local,map
$icon-map-svg-height,20,packages/usa-combo-box/src/styles/_usa-combo-box.scss,local,component,component.property,,,,height,icon,,,,,,icon:component/element,7,component-local,map svg
$icon-map-svg-width,20,packages/usa-combo-box/src/styles/_usa-combo-box.scss,local,component,component.property,,,,width,icon,,,,,,icon:component/element,7,component-local,map svg
$icon-map-height,units(2),packages/usa-combo-box/src/styles/_usa-combo-box.scss,local,component,component.property,,,,height,icon,,,,,,icon:component/element,7,component-local,map
$chevron-open,"map.merge( $icon-map, ( ""name"": ""expand_more"", ) )",packages/usa-combo-box/src/styles/_usa-combo-box.scss,local,component,,,,,,,,,,,,,14,component-local,chevron open
$close,"map.merge( $icon-map, ( ""name"": ""close"", ) )",packages/usa-combo-box/src/styles/_usa-combo-box.scss,local,component,,,,,,,,,,,,,21,component-local,close
$background-context,"""Background""",packages/usa-dark-background/src/styles/_usa-dark-background.scss,local,component,property,,,,background,,,,,,,,3,component-local,context
$date-picker-max-width,"""mobile""",packages/usa-date-picker/src/styles/_usa-date-picker.scss,local,component,component.property,,,,max-width,date-picker,,,,,,,5,component-local,
$calendar-icon-defaults,"( ""color"": ""ButtonText"", ""svg-height"": 20, ""svg-width"": 20, ""height"": units(5), ""container-width"": 6, )",packages/usa-date-picker/src/styles/_usa-date-picker.scss,local,component,component,,,,,icon,,,,,,icon:component/element,9,component-local|map-container,calendar defaults
$calendar-icon-defaults-color,"""ButtonText""",packages/usa-date-picker/src/styles/_usa-date-picker.scss,local,component,component.category,,color,,,icon,,,,,,color:category/property; icon:component/element,9,component-local,calendar defaults
$calendar-icon-defaults-svg-height,20,packages/usa-date-picker/src/styles/_usa-date-picker.scss,local,component,component.property,,,,height,icon,,,,,,icon:component/element,9,component-local,calendar defaults svg
$calendar-icon-defaults-svg-width,20,packages/usa-date-picker/src/styles/_usa-date-picker.scss,local,component,component.property,,,,width,icon,,,,,,icon:component/element,9,component-local,calendar defaults svg
$calendar-icon-defaults-height,units(5),packages/usa-date-picker/src/styles/_usa-date-picker.scss,local,component,component.property,,,,height,icon,,,,,,icon:component/element,9,component-local,calendar defaults
$calendar-icon-defaults-container-width,6,packages/usa-date-picker/src/styles/_usa-date-picker.scss,local,component,component.property,,,,container,icon,,,,,,icon:component/element,9,component-local,calendar defaults width
$calendar,"map.merge( $calendar-icon-defaults, ( ""name"": ""calendar_today"", ) )",packages/usa-date-picker/src/styles/_usa-date-picker.scss,local,component,,,,,,,,,,,,,17,component-local,calendar
$navigate_before,"map.merge( $calendar-icon-defaults, ( ""name"": ""navigate_before"", ) )",packages/usa-date-picker/src/styles/_usa-date-picker.scss,local,component,,,,,,,,,,,,,24,component-local,navigate_before
$navigate_far_before,"map.merge( $calendar-icon-defaults, ( ""name"": ""navigate_far_before"", ) )",packages/usa-date-picker/src/styles/_usa-date-picker.scss,local,component,,,,,,,,,,,,,31,component-local,navigate_far_before
$navigate_next,"map.merge( $calendar-icon-defaults, ( ""name"": ""navigate_next"", ) )",packages/usa-date-picker/src/styles/_usa-date-picker.scss,local,component,,,,,,,,,,,,,38,component-local,navigate_next
$navigate_far_next,"map.merge( $calendar-icon-defaults, ( ""name"": ""navigate_far_next"", ) )",packages/usa-date-picker/src/styles/_usa-date-picker.scss,local,component,,,,,,,,,,,,,45,component-local,navigate_far_next
$-chevron-icon-defaults,"( ""color"": currentColor, ""svg-height"": 20, ""svg-width"": 20, ""height"": units(2.5), )",packages/usa-footer/src/styles/_usa-footer.scss,local,component,component,,,,,icon,,,,,,icon:component/element,6,component-local|map-container,chevron defaults
$-chevron-icon-defaults-color,currentColor,packages/usa-footer/src/styles/_usa-footer.scss,local,component,component.category,,color,,,icon,,,,,,color:category/property; icon:component/element,6,component-local,chevron defaults
$-chevron-icon-defaults-svg-height,20,packages/usa-footer/src/styles/_usa-footer.scss,local,component,component.property,,,,height,icon,,,,,,icon:component/element,6,component-local,chevron defaults svg
$-chevron-icon-defaults-svg-width,20,packages/usa-footer/src/styles/_usa-footer.scss,local,component,component.property,,,,width,icon,,,,,,icon:component/element,6,component-local,chevron defaults svg
$-chevron-icon-defaults-height,units(2.5),packages/usa-footer/src/styles/_usa-footer.scss,local,component,component.property,,,,height,icon,,,,,,icon:component/element,6,component-local,chevron defaults
$-chevron-next,"map.merge( $-chevron-icon-defaults, ( ""name"": ""navigate_next"", ) )",packages/usa-footer/src/styles/_usa-footer.scss,local,component,,,,,,,,,,,,,13,component-local,chevron next
$-chevron-expand-more,"map.merge( $-chevron-icon-defaults, ( ""name"": ""expand_more"", ) )",packages/usa-footer/src/styles/_usa-footer.scss,local,component,,,,,,,,,,,,,20,component-local,chevron expand more
$z-index-header,300,packages/usa-header/src/styles/_usa-header.scss,local,component,component.category,,z-index,,,header,,,,,,z-index:category/property; header:component/element,14,component-local,
$z-index-overlay,400,packages/usa-header/src/styles/_usa-header.scss,local,component,category,,z-index,,,,,,,,,z-index:category/property,15,component-local,overlay
$icon-list-icon-size-factor,1.5,packages/usa-icon-list/src/styles/_usa-icon-list.scss,local,component,component.property,,,,icon-size,icon-list,,,,,,,8,component-local,factor
$icon-list-icon-margin-top,-1.5%,packages/usa-icon-list/src/styles/_usa-icon-list.scss,local,component,component.property.element,,,,margin-top,icon-list,icon,,,,,icon:element/component,10,component-local,
$icon-list-icon-padding-left-factor,0.4,packages/usa-icon-list/src/styles/_usa-icon-list.scss,local,component,component.property.element,,,,padding-left,icon-list,icon,,,,,icon:element/component,12,component-local,factor
$icon-list-title-padding-top,0.425ex,packages/usa-icon-list/src/styles/_usa-icon-list.scss,local,component,component.property,,,,padding-top,icon-list,,,,,,,14,component-local,title
$type-scale,"font-size($theme-icon-list-font-family, $theme-body-font-size)",packages/usa-icon-list/src/styles/_usa-icon-list.scss,local,component,category,,type-scale,,,,,,,,,,16,component-local,
$this-system-token,"if( sass(map.has-key($all-type-scale, $theme-body-font-size)): map.get( $all-type-scale, $theme-body-font-size ); else: $theme-body-font-size )",packages/usa-icon-list/src/styles/_usa-icon-list.scss,local,component,,,,,,,,,,,,,19,component-local,this system token
$icon-size,px-to-rem($this-system-token),packages/usa-icon-list/src/styles/_usa-icon-list.scss,local,component,property,,,,icon-size,,,,,,,,27,component-local,
$this-null,"( ""none"": null, )",packages/usa-icon-list/src/styles/_usa-icon-list.scss,local,component,,,,,,,,,,,,,92,component-local|map-container,this null
$this-null-none,null,packages/usa-icon-list/src/styles/_usa-icon-list.scss,local,component,,,,,,,,,,,,,92,component-local,this null none
$icon-list-breakpoints,"map.merge($this-null, $system-breakpoints)",packages/usa-icon-list/src/styles/_usa-icon-list.scss,local,component,component,,,,,icon-list,,,,,,,95,component-local,breakpoints
$tokens-icon-sizes,"( ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8, ""9"": 9, )",packages/usa-icon/src/styles/_usa-icon.scss,local,component,component,,,,,icon,,,,,,icon:component/element,3,component-local|map-container,tokens sizes
$tokens-icon-sizes-3,3,packages/usa-icon/src/styles/_usa-icon.scss,local,component,component.scale,,,,,icon,,,,3,,icon:component/element,3,component-local,tokens sizes
$tokens-icon-sizes-4,4,packages/usa-icon/src/styles/_usa-icon.scss,local,component,component.scale,,,,,icon,,,,4,,icon:component/element,3,component-local,tokens sizes
$tokens-icon-sizes-5,5,packages/usa-icon/src/styles/_usa-icon.scss,local,component,component.scale,,,,,icon,,,,5,,icon:component/element,3,component-local,tokens sizes
$tokens-icon-sizes-6,6,packages/usa-icon/src/styles/_usa-icon.scss,local,component,component.scale,,,,,icon,,,,6,,icon:component/element,3,component-local,tokens sizes
$tokens-icon-sizes-7,7,packages/usa-icon/src/styles/_usa-icon.scss,local,component,component.scale,,,,,icon,,,,7,,icon:component/element,3,component-local,tokens sizes
$tokens-icon-sizes-8,8,packages/usa-icon/src/styles/_usa-icon.scss,local,component,component.scale,,,,,icon,,,,8,,icon:component/element,3,component-local,tokens sizes
$tokens-icon-sizes-9,9,packages/usa-icon/src/styles/_usa-icon.scss,local,component,component.scale,,,,,icon,,,,9,,icon:component/element,3,component-local,tokens sizes
$icon-inline-size-magic-number,1em,packages/usa-icon/src/styles/_usa-icon.scss,local,component,component.property,,,,size,icon,,,,,,icon:component/element,13,component-local,inline magic number
$identifier-context,"""Identifier""",packages/usa-identifier/src/styles/_usa-identifier.scss,local,component,component,,,,,identifier,,,,,,,3,component-local,context
$identifier-logo-height,6,packages/usa-identifier/src/styles/_usa-identifier.scss,local,component,component.property,,,,height,identifier,,,,,,,4,component-local,logo
$identifier-section-margin-y,2,packages/usa-identifier/src/styles/_usa-identifier.scss,local,component,component.property,,,,margin,identifier,,,,,,,5,component-local,section y
$identifier-section-margin-y-small,1,packages/usa-identifier/src/styles/_usa-identifier.scss,local,component,component.property.variant,,,,margin,identifier,,small,,,,,6,component-local,section y
$identifier-link-gap,1.5,packages/usa-identifier/src/styles/_usa-identifier.scss,local,component,component.category.element,,gap,,,identifier,link,,,,,link:element/component,7,component-local,
$identifier-link-gap-desktop,1,packages/usa-identifier/src/styles/_usa-identifier.scss,local,component,component.category.element,,gap,,,identifier,link,,,,,link:element/component,8,component-local,desktop
$identifier-links-gap,4,packages/usa-identifier/src/styles/_usa-identifier.scss,local,component,component.category,,gap,,,identifier,,,,,,,9,component-local,links
$icon-width,3,packages/usa-input-prefix-suffix/src/styles/_usa-input-prefix-suffix.scss,local,component,component.property,,,,width,icon,,,,,,icon:component/element,4,component-local,
$input-padding,1,packages/usa-input-prefix-suffix/src/styles/_usa-input-prefix-suffix.scss,local,component,component.property,,,,padding,input,,,,,,,5,component-local,
$icon-offset,$icon-width + ($input-padding * 2),packages/usa-input-prefix-suffix/src/styles/_usa-input-prefix-suffix.scss,local,component,component.property,,,,offset,icon,,,,,,icon:component/element,6,component-local,
$sidenav-reorder-warning,"""$theme-sidenav-reorder is enabled and has accessibility concerns. This behavior has a negative impact on users of assistive technologies.""",packages/usa-layout-docs/src/styles/_usa-layout-docs.scss,local,component,component.concept,,,warning,,sidenav,,,,,,,3,component-local,reorder
$namespace-grid,"ns(""grid"")",packages/usa-layout-grid/src/styles/_usa-layout-grid.scss,local,component,category,,grid,,,,,,,,,,7,component-local,namespace
$custom-breakpoints,"map-deep-get($system-properties, breakpoints, extended)",packages/usa-layout-grid/src/styles/_usa-layout-grid.scss,local,component,,,,,,,,,,,,,9,component-local,custom breakpoints
$all-breakpoints,"map-collect($system-breakpoints, $custom-breakpoints)",packages/usa-layout-grid/src/styles/_usa-layout-grid.scss,local,component,,,,,,,,,,,,,10,component-local,all breakpoints
$nav-link-color,"""base-dark""",packages/usa-nav/src/styles/_usa-nav.scss,local,component,component.category.element,,color,,,nav,link,,,,,color:category/property; link:element/component,12,component-local,
$sliding-panel-width,"""card-lg""",packages/usa-nav/src/styles/_usa-nav.scss,local,component,property.element,,,,width,,panel,,,,,,13,component-local,sliding
$nav-link-accordion-icon-size,2.5,packages/usa-nav/src/styles/_usa-nav.scss,local,component,component.property.element,,,,icon-size,nav,link,,,,,link:element/component,14,component-local,accordion
$nav-link-arrow-icon-size,2,packages/usa-nav/src/styles/_usa-nav.scss,local,component,component.property.element,,,,icon-size,nav,link,,,,,link:element/component,15,component-local,arrow
$place-icon-defaults,"( ""color"": ButtonText, ""svg-height"": 24, ""svg-width"": 24, )",packages/usa-nav/src/styles/_usa-nav.scss,local,component,component,,,,,icon,,,,,,icon:component/element,18,component-local|map-container,place defaults
$place-icon-defaults-color,ButtonText,packages/usa-nav/src/styles/_usa-nav.scss,local,component,component.category,,color,,,icon,,,,,,color:category/property; icon:component/element,18,component-local,place defaults
$place-icon-defaults-svg-height,24,packages/usa-nav/src/styles/_usa-nav.scss,local,component,component.property,,,,height,icon,,,,,,icon:component/element,18,component-local,place defaults svg
$place-icon-defaults-svg-width,24,packages/usa-nav/src/styles/_usa-nav.scss,local,component,component.property,,,,width,icon,,,,,,icon:component/element,18,component-local,place defaults svg
$-chevron-icon-defaults,"map.merge( $place-icon-defaults, ( ""height"": units($nav-link-arrow-icon-size), ) )",packages/usa-nav/src/styles/_usa-nav.scss,local,component,component,,,,,icon,,,,,,icon:component/element,24,component-local,chevron defaults
$-mobile-icon-defaults,"map.merge( $place-icon-defaults, ( ""height"": units($nav-link-accordion-icon-size), ) )",packages/usa-nav/src/styles/_usa-nav.scss,local,component,component,,,,,icon,,,,,,icon:component/element,31,component-local,mobile defaults
$-add-icon,"map.merge( $-mobile-icon-defaults, ( ""name"": ""add"", ) )",packages/usa-nav/src/styles/_usa-nav.scss,local,component,component,,,,,icon,,,,,,icon:component/element,38,component-local,add
$-remove-icon,"map.merge( $-mobile-icon-defaults, ( ""name"": ""remove"", ) )",packages/usa-nav/src/styles/_usa-nav.scss,local,component,component,,,,,icon,,,,,,icon:component/element,45,component-local,remove
$close-icon,"map.merge( $-mobile-icon-defaults, ( ""name"": ""close"", ) )",packages/usa-nav/src/styles/_usa-nav.scss,local,component,component,,,,,icon,,,,,,icon:component/element,52,component-local,close
$expand-more-icon,"map.merge( $-chevron-icon-defaults, ( ""name"": ""expand_more"", ) )",packages/usa-nav/src/styles/_usa-nav.scss,local,component,component,,,,,icon,,,,,,icon:component/element,59,component-local,expand more
$expand-less-icon,"map.merge( $-chevron-icon-defaults, ( ""name"": ""expand_less"", ) )",packages/usa-nav/src/styles/_usa-nav.scss,local,component,component,,,,,icon,,,,,,icon:component/element,66,component-local,expand less
$our-breakpoints,"map-deep-get($system-properties, breakpoints, standard)",packages/usa-nav/src/styles/_usa-nav.scss,local,component,,,,,,,,,,,,,506,component-local,our breakpoints
$safari-header-bug-min-width,calc( units($theme-header-min-width) - px-to-rem(15px) ),packages/usa-nav/src/styles/_usa-nav.scss,local,component,component.property,,,,min-width,header,,,,,,header:component/element,509,component-local|conditional,safari bug
$pagination-context,"""Pagination""",packages/usa-pagination/src/styles/_usa-pagination.scss,local,component,component,,,,,pagination,,,,,,,7,component-local,context
$pagination-margin-x,0.5,packages/usa-pagination/src/styles/_usa-pagination.scss,local,component,component.property,,,,margin,pagination,,,,,,,8,component-local,x
$pagination-margin-y,2,packages/usa-pagination/src/styles/_usa-pagination.scss,local,component,component.property,,,,margin,pagination,,,,,,,9,component-local,y
$pagination-margin-padding,1,packages/usa-pagination/src/styles/_usa-pagination.scss,local,component,component.property,,,,margin,pagination,,,,,,,10,component-local,padding
$pagination-target-size,5,packages/usa-pagination/src/styles/_usa-pagination.scss,local,component,component.property,,,,size,pagination,,,,,,,11,component-local,target
